Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
100005,"MOLINETE DE USO EM PESCARIA, MOLINETE DE USO EM PESCARIA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,09877: MOLINETE DE USO EM PESCARIA                                                                         ,Ativo,Não
100013,"EQUIPAMENTO ÁGUA GELADA - UNIDADE CLIMATIZADORA, AR CONDICIONADO CENTRAL - UNIDADE CONDEN NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4130: COMPONENTES DE EQUIPAMENTOS PARA REFRIGERAÇÃO E AR  CONDICIONADO                                                        ,02953: EQUIPAMENTO ÁGUA GELADA - UNIDADE CLIMATIZADORA                                                     ,Ativo,Não
100021,"RABICHO TRIPOLAR PARA CORRENTE ELETRICA, RABICHO TRIPOLAR PARA CORRENTE ELETRICA NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6150: EQUIPAMENTOS DIVERSOS PARA GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA                                                            ,11384: RABICHO TRIPOLAR PARA CORRENTE ELETRICA                                                             ,Ativo,Não
100030,"MESA PARA TELEVISÃO / VÍDEOCASSETE, MESA PARA TELEVISAO / VIDEOCASSETE NOME",71: MOBILIÁRIOS                                                                                                             ,7105: MOBILIÁRIO DOMÉSTICO                                                                                                    ,09655: MESA PARA TELEVISÃO / VÍDEOCASSETE                                                                  ,Ativo,Não
100048,"SUPORTE PARA DISCO LASER (COMPACT DISK - CD), SUPORTE PARA DISCO LASER (COMPACT DISK - NOME",71: MOBILIÁRIOS                                                                                                             ,7125: ARMÁRIOS E ESTANTES                                                                                                     ,12411: SUPORTE PARA DISCO LASER (COMPACT DISK - CD)                                                        ,Ativo,Não
100056,"SUPORTE PARA FITA CASSETE, SUPORTE PARA FITA CASSETE NOME",71: MOBILIÁRIOS                                                                                                             ,7125: ARMÁRIOS E ESTANTES                                                                                                     ,12412: SUPORTE PARA FITA CASSETE                                                                           ,Ativo,Não
10006,"TELA METÁLICA, TELA METALICA DE PROTECAO CONTRA INSETO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5335: TELAS METÁLICAS                                                                                                         ,00580: TELA METÁLICA                                                                                       ,Inativo,Não
100064,"CARTUCHO PARA JOGO TIPO VIDEO GAME, CARTUCHO PARA JOGO TIPO VIDEO GAME NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",04669: CARTUCHO PARA JOGO TIPO VIDEO GAME                                                                  ,Ativo,Não
100072,"COMPRESSOR, EQUIPAMENTO DE SOM CONJUGADO - TIPO DOME NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5835: EQUIPAMENTOS PARA GRAVAÇÃO E REPRODUÇÃO DE SOM                                                                          ,06754: COMPRESSOR                                                                                          ,Ativo,Não
100080,"ACIONADOR DE JOGO TIPO JOYSTICK, ACIONADOR DE JOGO TIPO JOYSTICK NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",02040: ACIONADOR DE JOGO TIPO JOYSTICK                                                                     ,Ativo,Não
100099,"TOCA DISCO LASER ( COMPACT DISK - CD ), TOCA DISCO LASER ( COMPACT DISK - CD ) NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5835: EQUIPAMENTOS PARA GRAVAÇÃO E REPRODUÇÃO DE SOM                                                                          ,12797: TOCA DISCO LASER ( COMPACT DISK - CD )                                                              ,Ativo,Não
100102,"MESA CABECEIRA, MESA - DE - CABECEIRA DE METAL (CRIADO M NOME",71: MOBILIÁRIOS                                                                                                             ,7105: MOBILIÁRIO DOMÉSTICO                                                                                                    ,09607: MESA CABECEIRA                                                                                      ,Inativo,Não
100110,"MESA-DE-CABECEIRA DE MADEIRA (CRIADO MUDO), MESA-DE-CABECEIRA DE MADEIRA (CRIADO MUD NOME",71: MOBILIÁRIOS                                                                                                             ,7105: MOBILIÁRIO DOMÉSTICO                                                                                                    ,09667: MESA-DE-CABECEIRA DE MADEIRA (CRIADO MUDO)                                                          ,Inativo,Não
100129,"PORTA-DOCUMENTOS, PORTA - DOCUMENTO FUNCIONAL ( CARTEIRA ) NOME","84: VESTUÁRIOS, EQUIPAMENTOS INDIVIDUAIS E INSÍGNIAS                                                                        ",8460: BAGAGENS                                                                                                                ,11038: PORTA-DOCUMENTOS                                                                                    ,Ativo,Não
100137,"EQUIPAMENTO DE MICROFILMAGEM ( FOTOGRAFA PESSOA E DOCUMENTO SIMULTANEAMENTE ) PHOTOSCOPE, EQUIPAMENTO DE MICROFILMAGEM ( FOTOGRAFA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,06709: EQUIPAMENTO DE MICROFILMAGEM ( FOTOGRAFA PESSOA E DOCUMENTO SIMULTANEAMENTE ) PHOTOSCOPE            ,Ativo,Não
10014,"TECIDO INDUSTRIAL METALICO, TECIDO INDUSTRIAL METALICO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5335: TELAS METÁLICAS                                                                                                         ,12576: TECIDO INDUSTRIAL METALICO                                                                          ,Ativo,Não
100145,"FARINHA MILHO, FLOCOS DE MILHO ( FARINHA FLOCADA ) NOME",89: SUBSISTÊNCIA                                                                                                            ,8920: PRODUTOS DE PANIFICAÇÃO E CEREAIS                                                                                       ,00887: FARINHA MILHO                                                                                     ,Inativo,Não
100153,"FARINHA PREGELATINIZADA DE MILHO, FARINHA PREGELATINIZADA DE MILHO NOME",89: SUBSISTÊNCIA                                                                                                            ,8920: PRODUTOS DE PANIFICAÇÃO E CEREAIS                                                                                       ,07295: FARINHA PREGELATINIZADA DE MILHO                                                                  ,Ativo,Não
100161,"FARINHA PRE-COZIDA DE MILHO - POLENTA, FARINHA PRE-COZIDA DE MILHO - POLENTA NOME",89: SUBSISTÊNCIA                                                                                                            ,8920: PRODUTOS DE PANIFICAÇÃO E CEREAIS                                                                                       ,07294: FARINHA PRE-COZIDA DE MILHO - POLENTA                                                             ,Ativo,Não
100170,"FUBÁ, FUBA PRE-COZIDO DE MILHO NOME",89: SUBSISTÊNCIA                                                                                                            ,8920: PRODUTOS DE PANIFICAÇÃO E CEREAIS                                                                                       ,00891: FUBÁ                                                                                              ,Inativo,Não
100188,"ROLO PRESSOR, APARELHO DE CONTROLE DE ACESSO DE PESSOA NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5836: EQUIPAMENTOS PARA GRAVAÇÃO E REPRODUÇÃO DE VÍDEO                                                                        ,02683: ROLO PRESSOR                                                                                        ,Ativo,Não
100196,"LUVA DE POLIPROPILENO, LUVA DE POLIPROPILENO NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,08964: LUVA DE POLIPROPILENO                                                                               ,Inativo,Não
100200,"CONJUNTO TRATAMENTO HIDROCEFALIA, CONJUNTO TRATAMENTO HIDROCEFALIA NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",05777: CONJUNTO TRATAMENTO HIDROCEFALIA                                                                    ,Inativo,Não
100218,"BOTÃO FIXADOR, BOTAO PARA CIRURGIA CRANIO NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",03836: BOTÃO FIXADOR                                                                                       ,Inativo,Não
10022,"FITA ABRASIVA, FITA ABRASIVA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5345: DISCOS E PEDRAS ABRASIVOS                                                                                               ,07546: FITA ABRASIVA                                                                                       ,Ativo,Não
100226,"CONJUNTO DRENAGEM INTERNA 1, CONJUNTO DRENAGEM EXTERNA - USO NEUROLOG NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",05743: CONJUNTO DRENAGEM INTERNA 1                                                                         ,Inativo,Não
100234,"ENXERTO ARTERIAL, ENXERTO ARTERIAL NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",06598: ENXERTO ARTERIAL                                                                                    ,Inativo,Não
100242,"CONJUNTO FIXAÇÃO, CONJUNTO FIXADOR EXTERNO DE OSSO HUMANO NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",05749: CONJUNTO FIXAÇÃO                                                                                    ,Inativo,Não
100250,"BIOMATERIAL IMPLANTÁVEL, ENDOPROTESE DE OSSO HUMANO NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",06555: BIOMATERIAL IMPLANTÁVEL                                                                             ,Inativo,Não
100269,"CLIPS ANEURISMA CEREBRAL, CLIPS - CIRURGIA DE ANEURISMA NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",05082: CLIPS ANEURISMA CEREBRAL                                                                            ,Inativo,Não
100277,"EXPLOSIVO INDUSTRIAL/EXPLOSIVO DIVERSOS, EXPLOSIVO INDUSTRIAL ( DINAMITE ) NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1375: MATERIAIS DE DEMOLIÇÃO                                                                                                  ,07245: EXPLOSIVO INDUSTRIAL/EXPLOSIVO DIVERSOS                                                             ,Ativo,Não
100285,"CORDEL DETONANTE EXPLOSIVO, CORDEL DETONANTE DE EXPLOSIVO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1375: MATERIAIS DE DEMOLIÇÃO                                                                                                  ,05870: CORDEL DETONANTE EXPLOSIVO                                                                          ,Ativo,Não
100293,"ESPOLETA SIMPLES PARA DETONACAO DE EXPLOSIVO, ESPOLETA SIMPLES PARA DETONACAO DE EXPLO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1375: MATERIAIS DE DEMOLIÇÃO                                                                                                  ,07033: ESPOLETA SIMPLES PARA DETONACAO DE EXPLOSIVO                                                        ,Inativo,Não
10030,"PEDRA AFIAR, PEDRA DE AFIAR NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5345: DISCOS E PEDRAS ABRASIVOS                                                                                               ,00582: PEDRA AFIAR                                                                                         ,Ativo,Não
100307,"ESPOLETA SIMPLES + ESTOPIM ( ESPOLETADO ) - DETONACAO DE EXPLOSIVO, ESPOLETA SIMPLES + ESTOPIM ( ESPOLETADO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1375: MATERIAIS DE DEMOLIÇÃO                                                                                                  ,07031: ESPOLETA SIMPLES + ESTOPIM ( ESPOLETADO ) - DETONACAO DE EXPLOSIVO                                  ,Inativo,Não
100315,"ESPOLETA SIMPLES COM RETARDO / DETONACAO DE EXPLO-SIVO, ESPOLETA SIMPLES COM RETARDO / DETONACAO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1390: ESPOLETAS E ESTOPILHAS                                                                                                  ,07032: ESPOLETA SIMPLES COM RETARDO / DETONACAO DE EXPLO-SIVO                                              ,Ativo,Não
100323,"SONDA, SONDA TERMOMETRICA PARA PRODUTO AGRICOLA NOME",66: INSTRUMENTOS E EQUIPAMENTOS DE LABORATÓRIO                                                                              ,"6685: INSTRUMENTOS PARA MEDIÇÃO E CONTROLE DE PRESSÃO,TEMPERATURA E UMIDADE                                                   ",01298: SONDA                                                                                               ,Ativo,Não
100331,"SISTEMA DE TERMOMETRIA PARA GRAO AGRICOLA  ( PORTATIL / INFORMATIZADO ), SISTEMA DE TERMOMETRIA PARA GRAO AGRICOL NOME",66: INSTRUMENTOS E EQUIPAMENTOS DE LABORATÓRIO                                                                              ,"6685: INSTRUMENTOS PARA MEDIÇÃO E CONTROLE DE PRESSÃO,TEMPERATURA E UMIDADE                                                   ",12131: SISTEMA DE TERMOMETRIA PARA GRAO AGRICOLA  ( PORTATIL / INFORMATIZADO )                             ,Inativo,Não
100340,"CLORETO DE ANTIMÔNIO, CLORO - TRATAMENTO DE AGUA NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,00721: CLORETO DE ANTIMÔNIO                                                                                ,Inativo,Não
100358,"PISCINA, PISCINA DE FIBRA DE VIDRO NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,10778: PISCINA                                                                                             ,Inativo,Não
100366,"PROGRAMA APLICATIVO, PROGRAMA ( SOFTWARE ) DE ADVOCACIA NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ",7099: OUTROS                                                                                                                  ,00232: PROGRAMA APLICATIVO                                                                                 ,Inativo,Não
100374,"PROGRAMA APLICATIVO, PROGRAMA ( SOFTWARE ) DE USO EM AREA IMO NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ",7099: OUTROS                                                                                                                  ,00232: PROGRAMA APLICATIVO                                                                                 ,Inativo,Não
100382,"CHASSI, CHASSI COMPLETO PARA CAMINHAO NOME",23: VEíCULOS                                                                                                                ,2320: VEÍCULOS SOBRE RODAS                                                                                                    ,00803: CHASSI                                                                                              ,Inativo,Não
100390,"CHASSI, CHASSI COMPLETO PARA ONIBUS NOME",23: VEíCULOS                                                                                                                ,2320: VEÍCULOS SOBRE RODAS                                                                                                    ,00803: CHASSI                                                                                              ,Inativo,Não
100404,"PLATAFORMA PARA ONIBUS, PLATAFORMA PARA ONIBUS NOME",23: VEíCULOS                                                                                                                ,2320: VEÍCULOS SOBRE RODAS                                                                                                    ,10902: PLATAFORMA PARA ONIBUS                                                                              ,Inativo,Não
100412,"CHAPA FOGÃO EM FERRO FUNDIDO, CHAPA DE FOGAO EM FERRO FUNDIDO NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,"7310: EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS                                                                    ",04829: CHAPA FOGÃO EM FERRO FUNDIDO                                                                        ,Ativo,Não
100420,"FLANGE FERRO FUNDIDO PARA REDE DE CANALIZACAO   DEAGUA, FLANGE FERRO FUNDIDO PARA REDE DE CANALI NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,5680: MATERIAIS DIVERSOS PARA CONSTRUÇÃO                                                                                      ,07632: FLANGE FERRO FUNDIDO PARA REDE DE CANALIZACAO   DEAGUA                                              ,Ativo,Não
100439,"BANCO ESTRUTURA FERRO - USO GERAL, BANCO ESTRUTURA FERRO - USO GERAL NOME",71: MOBILIÁRIOS                                                                                                             ,7195: MOBILIÁRIOS DIVERSOS E ACESSÓRIOS                                                                                       ,03280: BANCO ESTRUTURA FERRO - USO GERAL                                                                   ,Inativo,Não
100447,"MESA FERRO FUNDIDO - USO GERAL, MESA FERRO FUNDIDO - USO GERAL NOME",71: MOBILIÁRIOS                                                                                                             ,7195: MOBILIÁRIOS DIVERSOS E ACESSÓRIOS                                                                                       ,09638: MESA FERRO FUNDIDO - USO GERAL                                                                      ,Ativo,Não
100455,"DISPRÓSIO, ACIDO TRICLOROACETICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,02033: DISPRÓSIO                                                                                           ,Inativo,Não
100463,"NITRATO DE COBRE II, ACIDO AMINOACETICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,01867: NITRATO DE COBRE II                                                                                 ,Inativo,Não
100471,"ÁCIDO BENZÓICO, ACIDO BENZOICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,00013: ÁCIDO BENZÓICO                                                                                      ,Inativo,Não
100480,"ÁCIDO BÓRICO, ACIDO BORICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,00045: ÁCIDO BÓRICO                                                                                        ,Inativo,Não
10049,"PEDRA PARA POLIR, PEDRA PARA POLIR NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5345: DISCOS E PEDRAS ABRASIVOS                                                                                               ,10588: PEDRA PARA POLIR                                                                                    ,Ativo,Não
100498,"ÉTER DIETÍLICO, ACIDO FOSFOTUNGSTICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,01935: ÉTER DIETÍLICO                                                                                      ,Inativo,Não
100501,"ÁCIDO FÓRMICO, ACIDO FORMICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,00711: ÁCIDO FÓRMICO                                                                                       ,Inativo,Não
100510,"ÁCIDO 3-N-MORFOLINO PROPANSULFÔNICO (MOPS), ACIDO 3 INDOLIL BUTIRICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,02038: ÁCIDO 3-N-MORFOLINO PROPANSULFÔNICO (MOPS)                                                          ,Inativo,Não
100528,"METORFANO, AZUL DE EVANS NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,03180: METORFANO                                                                                           ,Inativo,Não
100536,"AZIDA SÓDICA, AZIDA SODICA NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,03164: AZIDA SÓDICA                                                                                        ,Inativo,Não
100544,"ÁCIDO NÍTRICO, ACIDO NITRICO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,00713: ÁCIDO NÍTRICO                                                                                       ,Inativo,Não
100552,"PIRUVATO DE SÓDIO, CLORETO DE FERRO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05110: PIRUVATO DE SÓDIO                                                                                   ,Inativo,Não
100560,"PIRIDINAMINA, ALCOOL ACETONA NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,02251: PIRIDINAMINA                                                                                        ,Inativo,Não
10057,"REBOLO MULTIAPLICACAO, REBOLO MULTIAPLICACAO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5345: DISCOS E PEDRAS ABRASIVOS                                                                                               ,11446: REBOLO MULTIAPLICACAO                                                                               ,Inativo,Não
100579,"ÁLCOOL POLIVINÍLICO, ALCOOL ACIDO NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ",6505: DROGAS E MEDICAMENTOS                                                                                                   ,02252: ÁLCOOL POLIVINÍLICO                                                                                 ,Inativo,Não
100587,"ÁCIDO RODIZÔNICO, ROSA BENGALA SODICA NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,11831: ÁCIDO RODIZÔNICO                                                                                    ,Inativo,Não
100595,"BENZIDINA, BENZIDINE NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,03499: BENZIDINA                                                                                           ,Inativo,Não
